id,gametask_name,AppID,Name
1314,TheAscent,979690,The Ascent
1315,TheCallistoProtocol,1544020,The Callisto Protocol™
1316,TheCycle,868270,The Cycle: Frontier
1317,TheFirstDescendant,2074920,The First Descendant
1318,TheForeverWinter,2828860,The Forever Winter
1319,TheIsle,376210,The Isle
1320,TheKingofFightersXV,2285080,THE KING OF FIGHTERS XV Playtest
1321,TheOutlastTrials,1304930,The Outlast Trials
1322,ThroneandLiberty,2429640,THRONE AND LIBERTY
1323,TinyTinaWonderlands,1286680,Tiny Tina's Wonderlands
1324,TribesofMidgard,858820,Tribes of Midgard
1325,Tropico6,492720,Tropico 6
1326,Undecember,1549250,UNDECEMBER
1327,Vampyr,427290,Vampyr
1328,Voidtrain,1159690,Voidtrain
1329,Wayfinder,1171690,Wayfinder
1330,WeHappyFew,320240,We Happy Few
1331,WitchIt,559650,Witch It
1332,Wukong,2358720,Black Myth: Wukong
1336,FinalFantasyVIIRemake,239120,Final Fantasy III (3D Remake)
,,,
1337,chivalrymedievalwarfare,219640,Chivalry: Medieval Warfare
1338,Farlight 84,1928420,Farlight 84
1339,Splitgate,677620,Splitgate
1340,The First Descendant,2074920,The First Descendant
1341,ACE COMBAT 7,502500,ACE COMBAT™ 7: SKIES UNKNOWN
1342,DaemonXMachina,1167450,DAEMON X MACHINA
1343,Devil May Cry 5,601150,Devil May Cry 5
1344,Dragons Dogma 2,2054970,Dragon's Dogma 2
1345,Empires of the Undergrowth,463530,Empires of the Undergrowth
1346,RESIDENT EVIL RESISTANCE,1236300,Resident Evil Re:Verse
1347,Street Fighter 6,1364780,Street Fighter™ 6
1348,Resident Evil ReVerse,1236300,Resident Evil Re:Verse
1349,Resident Evil Village BIOHAZARD VILLAGE,418370,Resident Evil 7 Biohazard
1350,Space Marine 2,2183900,"Warhammer 40,000: Space Marine 2"
1351,P3R,1149220,P.3
1352,PUBG,578080,PUBG: BATTLEGROUNDS
1353,Tiny Tina's Wonderlands,1286680,Tiny Tina's Wonderlands
1354,RE3,654940,RXE
1355,RESIDENT EVIL 2  BIOHAZARD RE2,883710,Resident Evil 2
1356,RESIDENT EVIL 4  BIOHAZARD RE4,254700,Resident Evil 4
1357,"Warhammer 40,000 DARKTIDE",1361210,"Warhammer 40,000: Darktide"
1358,OCTOPATHTRAVELER,921570,OCTOPATH TRAVELER™
1359,HW2,1019420,h2
1360,Kingdoms Reborn,1307890,Kingdoms Reborn
1361,Lies of P,1627720,Lies of P
1362,MONSTER HUNTER RISE SUNBREAK DEMO,1836450,Monster Hunter Rise: Sunbreak Demo
1363,DGW-HK-2022-12-08-15,1880420,DoDodge2020
1364,DIDE,687270,Divide
1365,Call of Duty Black Ops III,311210,Call of Duty®: Black Ops III
1366,TheOuterWorlds,578650,The Outer Worlds
1367,SMITE,386360,SMITE®
1368,DaysGone,1259420,Days Gone
1369,ConanExiles,440900,Conan Exiles
1370,HaloTheMasterChiefCollection,976730,Halo: The Master Chief Collection
1371,SidMeierCivilizationVI,289070,Sid Meier’s Civilization® VI
1372,Back4Blood,924970,Back 4 Blood
1373,FINALFANTASYVIIREMAKE,239120,Final Fantasy III (3D Remake)
1374,StarshipTroopersExtermination,1268750,Starship Troopers: Extermination
1375,OUTRIDERS,680420,OUTRIDERS
1376,EdithFinch,252630,Eldritch
1377,HelloNeighbor,521890,Hello Neighbor
1378,NightoftheDead,1377380,Night of the Dead
1379,SengokuDynasty,1702010,Sengoku Dynasty
1380,ABZU,384190,ABZU
1381,DeltaForce,32620,Delta Force
1382,Bloodhunt,1926270,Bloodhound
1383,DarkandDarker,2016590,Dark and Darker
1384,DirtyBomb,333930,Dirty Bomb®
1385,CallofDutyHQ,2620,Call of Duty®
